threshold,true_positive,false_positive,false_negative,true_negative,customers_targeted,total_profit,profit_per_customer,precision,target_rate,estimated_coupon_budget,meets_max_target_rate,meets_minimum_precision,meets_budget_cap,constraints_satisfied,constraint_violation_score
0.59,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.6,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.61,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.62,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.63,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.64,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.65,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.66,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.67,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.68,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.69,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.7,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.71,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.72,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.73,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.74,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.75,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.76,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.77,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.78,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.79,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.8,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.81,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.82,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.83,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.84,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.85,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.86,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.87,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.88,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.89,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.9,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.91,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.92,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.93,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.94,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.95,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.96,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.97,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.98,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
0.99,0,0,9972,9763,0,-997200.0,-50.52951608816823,0.0,0.0,0.0,True,False,True,False,0.1
